29021:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        417174       33383288  [B (java.base@21.0.12.1)
   2:        270399       32664376  [Ljava.lang.Object; (java.base@21.0.12.1)
   3:        343385       21976640  net.minecraft.world.phys.AABB
   4:        141489       14714856  net.minecraft.world.phys.shapes.ArrayVoxelShape
   5:        391783        9402792  java.lang.String (java.base@21.0.12.1)
   6:        281395        8984104  [J (java.base@21.0.12.1)
   7:        140039        7842184  ca.spottedleaf.moonrise.patches.collisions.shape.CachedShapeData
   8:        140039        7842184  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape
   9:        291767        7002408  it.unimi.dsi.fastutil.doubles.DoubleArrayList
  10:        141155        6775440  ca.spottedleaf.moonrise.patches.collisions.shape.CachedToAABBs
  11:        248483        5963592  net.minecraft.core.BlockPos
  12:        248399        5961576  net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate$StructureBlockInfo
  13:         14608        4351712  [I (java.base@21.0.12.1)
  14:         29671        4272624  net.minecraft.world.level.block.state.BlockState
  15:        131358        4203456  java.util.HashMap$Node (java.base@21.0.12.1)
  16:        162530        3900720  java.util.ArrayList (java.base@21.0.12.1)
  17:         31420        3736512  java.lang.Class (java.base@21.0.12.1)
  18:          8435        3694232  [Ljava.util.HashMap$Node; (java.base@21.0.12.1)
  19:        140047        3361128  java.util.BitSet (java.base@21.0.12.1)
  20:         72267        2890704  [Lnet.minecraft.world.phys.shapes.VoxelShape;
  21:         53701        2829952  [D (java.base@21.0.12.1)
  22:         85851        2747232  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12.1)
  23:          7134        1948432  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12.1)
  24:         29152        1865728  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap
  25:         36118        1444720  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap
  26:         32163        1286520  java.util.LinkedHashMap$Entry (java.base@21.0.12.1)
  27:         29798        1233448  [Z (java.base@21.0.12.1)
  28:          4187        1143696  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12.1)
  29:         22708        1089984  java.lang.invoke.MemberName (java.base@21.0.12.1)
  30:         66621        1065936  net.minecraft.nbt.StringTag
  31:         28612         915584  net.minecraft.world.level.biome.Climate$Parameter
  32:         18326         733040  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@21.0.12.1)
  33:         22184         709888  com.mojang.datafixers.types.templates.Product$ProductType
  34:         29492         707808  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase$Cache
  35:          9986         639104  java.util.LinkedHashMap (java.base@21.0.12.1)
  36:         35744         571904  java.lang.Object (java.base@21.0.12.1)
  37:         17867         571744  com.mojang.datafixers.types.templates.Tag$TagType
  38:         17543         561376  com.mojang.datafixers.types.templates.Sum$SumType
  39:         13768         550720  java.lang.invoke.MethodType (java.base@21.0.12.1)
  40:         33321         533136  com.mojang.datafixers.types.templates.Const
  41:         21559         517416  java.util.ImmutableCollections$List12 (java.base@21.0.12.1)
  42:         10773         517104  it.unimi.dsi.fastutil.objects.ReferenceOpenHashSet
  43:         16158         517056  java.util.ImmutableCollections$MapN (java.base@21.0.12.1)
  44:          1370         479312  [C (java.base@21.0.12.1)
  45:         14583         466656  com.mojang.datafixers.types.templates.Named$NamedType
  46:         28866         461856  net.minecraft.nbt.CompoundTag
  47:         13784         441088  jdk.internal.util.WeakReferenceKey (java.base@21.0.12.1)
  48:          9118         437664  [Lnet.minecraft.world.level.biome.Climate$Parameter;
  49:         18187         436488  net.minecraft.resources.ResourceLocation
  50:         10589         423560  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.12.1)
  51:         16848         404352  org.bukkit.craftbukkit.block.impl.CraftWall
  52:          4390         386320  java.lang.reflect.Method (java.base@21.0.12.1)
  53:          9630         385200  java.lang.invoke.DirectMethodHandle (java.base@21.0.12.1)
  54:         15439         370536  java.lang.invoke.ResolvedMethodName (java.base@21.0.12.1)
  55:         12986         367120  [Ljava.lang.Class; (java.base@21.0.12.1)
  56:          7604         364992  net.minecraft.world.level.biome.Climate$ParameterPoint
  57:         14519         348456  com.mojang.datafixers.types.templates.Sum
  58:         10794         345408  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl
  59:         14377         345048  com.google.common.collect.ImmutableMapEntry
  60:           717         341704  [F (java.base@21.0.12.1)
  61:         13625         327000  com.mojang.datafixers.types.templates.Product
  62:         13354         320496  com.mojang.datafixers.types.templates.Tag
  63:          4802         307328  java.util.concurrent.ConcurrentHashMap (java.base@21.0.12.1)
  64:          7549         301960  org.yaml.snakeyaml.error.Mark
  65:          9196         294272  net.minecraft.core.Holder$Reference
  66:            69         273360  [Lca.spottedleaf.concurrentutil.map.ConcurrentLong2ReferenceChainedHashTable$TableEntry;
  67:         16321         261136  java.util.Optional (java.base@21.0.12.1)
  68:         10794         259056  net.minecraft.resources.ResourceKey
  69:         10794         259056  net.minecraft.resources.ResourceKey$InternKey
  70:          7639         244448  com.mojang.serialization.MapCodec$2
  71:          7575         242400  io.papermc.paper.util.ObfHelper$ClassMapping
  72:          2967         237360  ca.spottedleaf.moonrise.common.time.TickTime
  73:          3692         236288  org.yaml.snakeyaml.nodes.ScalarNode
  74:          9305         223320  org.bukkit.NamespacedKey
  75:          9267         222408  java.util.ImmutableCollections$ListN (java.base@21.0.12.1)
  76:          4588         220224  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12.1)
  77:          4547         218256  java.util.HashMap (java.base@21.0.12.1)
  78:          8861         212664  com.mojang.datafixers.util.Pair
  79:          8757         210168  com.mojang.datafixers.schemas.Schema$$Lambda/0x00007fce8869dbe8
  80:         12979         207664  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet
  81:          8640         207360  org.bukkit.craftbukkit.block.impl.CraftStair
  82:          8400         201600  com.google.common.base.Suppliers$NonSerializableMemoizingSupplier
  83:          1443         200944  [Lcom.google.common.collect.ImmutableMapEntry;
  84:          7913         189912  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry
  85:          7598         182352  net.minecraft.world.level.biome.Climate$RTree$Leaf
  86:          4401         176040  java.math.BigDecimal (java.base@21.0.12.1)
  87:          4332         173280  java.math.BigInteger (java.base@21.0.12.1)
  88:          7183         172392  com.mojang.serialization.Dynamic
  89:          4121         164840  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12.1)
  90:          5087         162784  java.lang.invoke.LambdaForm$Name (java.base@21.0.12.1)
  91:          2074         157624  [Ljava.lang.ref.SoftReference; (java.base@21.0.12.1)
  92:          9765         156240  com.mojang.datafixers.types.templates.RecursivePoint
  93:          2055         147960  java.lang.reflect.Constructor (java.base@21.0.12.1)
